Refseq accn,Genbank accn,Organism name,TaxID
PRJNA27939,PRJNA27935,Bigelowiella natans,227086
PRJNA27973,PRJNA18719,Malassezia globosa CBS 7966,425265
PRJNA28057,PRJNA10792,Cyanidioschyzon merolae strain 10D,280699
PRJNA28131,PRJNA13064,Physcomitrella patens,3218
PRJNA28133,PRJNA19045,Monosiga brevicollis MX1,431895
PRJNA28163,PRJNA21011,Enterocytozoon bieneusi H348,481877
PRJNA28175,PRJNA17431,Aspergillus oryzae RIB40,510516
PRJNA28175,PRJNA20809,Aspergillus oryzae RIB40,510516
PRJNA28615,PRJNA12914,Entamoeba dispar SAW760,370354
PRJNA28993,PRJNA13421,Sus scrofa,9823
PRJNA29017,PRJNA18751,Culex quinquefasciatus,7176
PRJNA29019,PRJNA19043,Laccaria bicolor S238N-H82,486041
PRJNA29287,PRJNA28123,Enterobacteria phage EPS7,491003
PRJNA29489,PRJNA13657,Acyrthosiphon pisum,7029
PRJNA29797,PRJNA1447,Coprinopsis cinerea okayama7#130,240176
PRJNA29799,PRJNA12954,Podospora anserina S mat+,515849
PRJNA29813,PRJNA18815,Pyrenophora tritici-repentis Pt-1C-BFP,426418
PRJNA29977,PRJNA12682,Drosophila mojavensis,7230
PRJNA29979,PRJNA12651,Drosophila ananassae,7217
PRJNA29981,PRJNA12661,Drosophila erecta,7220
PRJNA29983,PRJNA12678,Drosophila grimshawi,7222
PRJNA29989,PRJNA12705,Drosophila persimilis,7234
PRJNA29991,PRJNA12711,Drosophila sechellia,7238
PRJNA29993,PRJNA18237,Drosophila simulans,7240
PRJNA29995,PRJNA12688,Drosophila virilis,7244
PRJNA29997,PRJNA12664,Drosophila willistoni,7260
PRJNA29999,PRJNA12366,Drosophila yakuba,7245
PRJNA30099,PRJNA10791,Medicago truncatula,3880
PRJNA30531,PRJNA166,Ciona intestinalis,7719
PRJNA30599,PRJNA29821,Enterobacteria phage BA14,532074
PRJNA30601,PRJNA29823,Enterobacteria phage EcoDS1,532075
PRJNA30603,PRJNA29819,Enterobacteria phage 13a,532076
PRJNA30717,PRJNA30119,Francisella tularensis subsp. novicida FTE,545422
PRJNA30931,PRJNA12874,Trichoplax adhaerens,10228
PRJNA30965,PRJNA30463,Iodobacteriophage phiPLPE,551895
PRJNA31231,PRJNA12876,Hydra vulgaris,6087
PRJEA32235,PRJNA352,Streptococcus suis P1/7,218494
PRJNA32283,PRJNA19553,Cryptosporidium muris RN66,441375
PRJNA32405,PRJNA17289,Taeniopygia guttata,59729
PRJNA32665,PRJNA19555,Talaromyces marneffei ATCC 18224,441960
PRJNA32667,PRJNA13640,Schizosaccharomyces japonicus yFS275,402676
PRJNA32719,PRJNA28893,Toxoplasma gondii ME49,508771
PRJNA33245,PRJNA20249,Branchiostoma floridae,7739
PRJNA33251,PRJNA13152,Phaeodactylum tricornutum,2850
PRJNA33471,PRJEA18785,Vitis vinifera,29760
PRJNA33471,PRJNA34679,Vitis vinifera,29760
PRJNA33651,PRJEA28803,Plasmodium knowlesi strain H,5851
PRJNA33843,PRJNA32899,Bos taurus,9913
PRJNA34119,PRJNA191,Thalassiosira pseudonana CCMP1335,296543
PRJNA34667,PRJNA16232,Ixodes scapularis,6945
PRJNA34677,PRJNA16585,Ricinus communis,3988
PRJNA36567,PRJEA42427,Oikopleura dioica,34765
PRJNA37793,PRJNA20869,Pongo abelii,9601
PRJNA38227,PRJNA13284,Aspergillus flavus NRRL3357,332952
PRJNA38235,PRJNA28951,Moniliophthora perniciosa FA553,554373
PRJNA38659,PRJEA34697,Candida dubliniensis CD36,573826
PRJNA38691,PRJNA13876,Sorghum bicolor,4558
PRJNA38699,PRJNA19789,Postia placenta Mad-698-R,561896
PRJNA38857,PRJNA19557,Talaromyces stipitatus ATCC 10500,441959
PRJNA39439,PRJEA37871,Komagataella pastoris GS115,644223
PRJNA39569,PRJNA13675,Candida tropicalis MYA-3404,294747
PRJNA39573,PRJNA12502,Zygosaccharomyces rouxii CBS 732,559307
PRJNA39575,PRJNA12499,Lachancea thermotolerans CBS 6340,559295
PRJNA39747,PRJNA12240,Eimeria tenella,5802
PRJNA39769,PRJNA15676,Micromonas sp. RCC299,296587
PRJNA39807,PRJNA15634,Uncinocarpus reesii 1704,336963
PRJNA39879,PRJEA27927,Penicillium chrysogenum Wisconsin 54-1255,500485
PRJNA39923,PRJEA30947,Synechococcus phage S-RSM4,555387
PRJNA39937,PRJEA36577,Schistosoma mansoni,6183
PRJNA40659,PRJEA34779,Erwinia pyrifoliae Ep1/96,634499
PRJNA40821,PRJEA39965,Cronobacter turicensis z3032,693216
PRJNA40839,PRJNA33771,Streptomyces pratensis ATCC 33331,591167
PRJNA40845,PRJNA19711,Sanguibacter keddieii DSM 10542,446469
PRJNA40847,PRJNA34743,Brucella abortus NCTC 8038,575591
PRJNA40849,PRJNA38511,Acinetobacter sp. RUH2624,575564
PRJNA40851,PRJNA38519,Fusobacterium nucleatum subsp. animalis 3_1_33,469603
PRJNA40853,PRJNA38509,Acinetobacter baumannii ATCC 19606 = CIP 70.34,575584
PRJNA40855,PRJNA34867,Enterococcus faecium C68,565664
PRJNA40857,PRJNA34747,Brucella melitensis bv. 1 str. 16M,224914
PRJNA40859,PRJNA34745,Brucella suis bv. 4 str. 40,520488
PRJNA40861,PRJNA33861,Mesorhizobium opportunistum WSM2075,536019
PRJNA40863,PRJNA33635,Ferroglobus placidus DSM 10642,589924
PRJNA40865,PRJNA33855,Rhodobacter sp. SW2,371731
PRJNA40867,PRJNA31445,Corynebacterium jeikeium ATCC 43734,525262
PRJNA40869,PRJNA39127,Haemophilus influenzae RdAW,656912
PRJNA40871,PRJNA39125,Haemophilus influenzae NT127,656913
PRJNA40873,PRJNA38745,Granulicatella elegans ATCC 700633,626369
PRJNA40897,PRJNA38645,Lactobacillus jensenii 115-3-CHN,575605
PRJNA40899,PRJNA38517,Lactobacillus fermentum 28-3-CHN,575599
PRJNA40901,PRJNA38515,Lactobacillus jensenii SJ-7A-US,575607
PRJNA40907,PRJNA36523,Ostreococcus virus OsV5,489089
PRJNA40921,PRJNA38039,Peptoclostridium difficile R20291,645463
PRJNA41013,PRJDA32511,Escherichia coli O103:H2 str. 12009,585395
PRJNA41017,PRJNA38037,Peptoclostridium difficile CD196,645462
PRJNA41019,PRJNA34821,Zymomonas mobilis subsp. mobilis NCIMB 11163,622759
PRJNA41021,PRJDA32509,Escherichia coli O26:H11 str. 11368,573235
PRJNA41023,PRJDA32513,Escherichia coli O111:H- str. 11128,585396
PRJNA41027,PRJNA40497,Vibrio furnissii CIP 102972,675811
PRJNA41029,PRJNA40493,Vibrio metschnikovii CIP 69.14,675813
PRJNA41031,PRJNA40491,Vibrio coralliilyticus ATCC BAA-450,675814
PRJNA41053,PRJNA12390,Ammonifex degensii KC4,429009
PRJNA41061,PRJNA38731,Prevotella sp. oral taxon 472 str. F0295,619693
PRJNA41077,PRJNA40085,Pasteurella dagmatis ATCC 43325,667128
PRJNA41079,PRJNA12753,Clavispora lusitaniae ATCC 42720,306902
PRJNA41099,PRJNA29173,Ajellomyces dermatitidis SLH14081,559298
PRJNA41101,PRJNA32161,Enterococcus faecium TC 6,565666
PRJNA41105,PRJNA40499,Vibrio sp. RC341,675810
PRJNA41111,PRJNA40487,Vibrio orientalis CIP 102891 = ATCC 33934,675816
PRJNA41127,PRJNA27777,Paenibacillus sp. Y412MC10,481743
PRJNA41131,PRJNA33047,Methanocaldococcus vulcanius M7,579137
PRJNA41169,PRJNA32617,Fibrobacter succinogenes subsp. succinogenes S85,59374
PRJNA41171,PRJNA30537,Geobacillus sp. Y412MC61,544556
PRJNA41215,PRJNA40173,Mannheimia haemolytica serotype A2 str. BOVINE,669262
PRJNA41217,PRJNA40171,Mannheimia haemolytica serotype A2 str. OVINE,669261
PRJNA41287,PRJNA32975,Blattabacterium sp. (Periplaneta americana) str. BPLAN,600809
PRJNA41297,PRJNA31293,Pectobacterium wasabiae WPP163,561231
PRJNA41317,PRJNA31049,Halothiobacillus neapolitanus c2,555778
PRJNA41333,PRJNA40107,Aggregatibacter actinomycetemcomitans D11S-1,668336
PRJNA41359,PRJNA34093,Leptotrichia goodfellowii F0264,596323
PRJNA41361,PRJNA40083,Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884,667127
PRJNA41363,PRJNA38513,Lactobacillus crispatus MV-3A-US,575597
PRJNA41365,PRJNA19993,Staphylococcus aureus D30,455227
PRJNA41369,PRJNA20007,Staphylococcus aureus 930918-3,452948
PRJNA41403,PRJNA29549,Gordonia bronchialis DSM 43247,526226
PRJNA41407,PRJNA40503,Vibrio cholerae INDRE 91/1,675808
PRJNA41409,PRJNA40483,Vibrio mimicus VM223,675820
PRJNA41411,PRJNA40505,Vibrio cholerae RC27,675807
PRJNA41415,PRJNA40509,Vibrio mimicus MB451,675806
PRJNA41421,PRJNA40501,Vibrio cholerae CT 5369-93,675809
PRJNA41425,PRJNA28711,Haliangium ochraceum DSM 14365,502025
PRJNA41455,PRJNA39547,Staphylococcus aureus subsp. aureus ED98,681288
PRJNA41501,PRJNA40495,Grimontia hollisae CIP 101886,675812
PRJNA41503,PRJNA41237,alpha proteobacterium HIMB114,684719
PRJNA41505,PRJNA38337,Acinetobacter calcoaceticus RUH2202,575585
PRJNA41507,PRJNA37947,Streptococcus sp. 2_1_36FAA,469609
PRJNA41533,PRJNA31103,Blattabacterium sp. (Blattella germanica) str. Bge,331104
PRJNA41583,PRJNA38339,Acinetobacter johnsonii SH046,575586
PRJNA41585,PRJNA38341,Acinetobacter junii SH205,575587
PRJNA41587,PRJNA38343,Acinetobacter lwoffii SH145,575588
PRJNA41589,PRJNA38345,Acinetobacter radioresistens SH164,575589
PRJNA41591,PRJNA38351,Bacteroides sp. 2_1_33B,469589
PRJNA41601,PRJNA40507,Vibrio sp. Ex25,150340
PRJNA41619,PRJNA40489,Vibrio sp. RC586,675815
PRJNA41621,PRJNA38349,Bacteroides sp. 2_1_22,469588
PRJNA41705,PRJNA38353,Bacteroides sp. 3_1_33FAA,457391
PRJNA41707,PRJNA38347,Bacteroides sp. 2_1_16,469587
PRJNA41709,PRJNA37277,Caulobacter segnis ATCC 21756,509190
PRJNA41729,PRJNA29281,Rhodothermus marinus DSM 4252,518766
PRJNA41735,PRJEA36575,Lactobacillus johnsonii FI9785,633699
PRJNA41819,PRJNA28539,Edwardsiella tarda EIB202,498217
PRJNA41861,PRJNA29529,Sulfurospirillum deleyianum DSM 6946,525898
PRJNA41863,PRJNA29309,Streptobacillus moniliformis DSM 12112,519441
PRJNA41865,PRJNA29539,Sebaldella termitidis ATCC 33386,526218
PRJNA41873,PRJNA40485,Photobacterium damselae subsp. damselae CIP 102761,675817
PRJNA41875,PRJEA53147,Mycoplasma hominis ATCC 23114,347256
PRJNA41885,PRJNA20825,Thermomonospora curvata DSM 43183,471852
PRJNA41925,PRJNA29531,Thermanaerovibrio acidaminovorans DSM 6589,525903
PRJNA41927,PRJNA21091,Veillonella parvula DSM 2008,479436
PRJNA41935,PRJNA19715,Xylanimonas cellulosilytica DSM 15894,446471
PRJNA41997,PRJNA21087,Sphaerobacter thermophilus DSM 20745,479434
PRJNA42011,PRJNA29523,Thermobaculum terrenum ATCC BAA-798,525904
PRJNA42113,PRJNA37701,Klebsiella variicola At-22,640131
PRJNA42115,PRJNA36645,Dehalococcoides mccartyi GT,633145
PRJNA42117,PRJNA36643,Brevundimonas subvibrioides ATCC 15264,633149
PRJNA42155,PRJNA32765,Anaplasma centrale str. Israel,574556
PRJNA42163,PRJNA40361,Vibrio harveyi 1DA3,673519
PRJNA42165,PRJNA40359,Vibrio alginolyticus 40B,674977
PRJNA42169,PRJNA34103,Mobiluncus mulieris 28-1,596328
PRJNA42207,PRJNA36681,Legionella longbeachae D-4968,638315
PRJNA42253,PRJNA41033,Serratia plymuthica 4Rx13,682634
PRJNA42365,PRJNA40051,Pediococcus acidilactici 7_4,563194
PRJNA42367,PRJNA38755,Streptococcus sp. M143,563037
PRJNA42369,PRJNA38355,Bacteroides sp. D20,585543
PRJNA42393,PRJNA18811,Dehalococcoides mccartyi VS,311424
PRJNA42495,PRJNA41469,Yersinia pestis KIM D27,687916
PRJNA42497,PRJNA37867,Acidovorax avenae subsp. avenae ATCC 19860,643561
PRJNA42499,PRJNA37943,Methanocaldococcus sp. FS406-22,644281
PRJNA42501,PRJNA37957,Micromonospora aurantiaca ATCC 27029,644283
PRJNA42503,PRJNA20115,Haemophilus influenzae HK1212,456482
PRJNA42519,PRJNA33667,Dickeya dadantii Ech586,590409
PRJNA42521,PRJNA21083,Streptosporangium roseum DSM 43021,479432
PRJNA42523,PRJNA37719,Burkholderia sp. CCGE1002,640511
PRJNA42613,PRJNA37869,Desulfovibrio aespoeensis Aspo-2,643562
PRJNA42615,PRJNA37913,Frankia sp. EuI1c,298654
PRJNA42617,PRJNA273,Mycobacterium tuberculosis 210,164513
PRJNA42621,PRJNA33805,Streptococcus pneumoniae str. Canada MDR_19A,637987
PRJNA42623,PRJNA33807,Streptococcus pneumoniae str. Canada MDR_19F,637988
PRJNA42777,PRJNA33663,Thermotoga naphthophila RKU-10,590168
PRJNA42831,PRJNA41115,Lactococcus lactis subsp. lactis KF147,684738
PRJNA42857,PRJNA12887,Saccoglossus kowalevskii,10224
PRJNA42887,PRJDA20361,Methanocella paludicola SANAE,304371
PRJNA42933,PRJNA12819,Oryctolagus cuniculus,9986
PRJNA42943,PRJNA39721,Enterococcus phage phiEf11,663241
PRJNA42953,PRJNA41557,Veillonella parvula ATCC 17745,686660
PRJNA42955,PRJNA40683,Lactobacillus gasseri 224-1,679196
PRJNA42957,PRJNA40679,Propionibacterium acnes J139,679194
PRJNA42959,PRJNA34581,Pyramidobacter piscolens W5455,352165
PRJNA42961,PRJNA31377,Prevotella bivia JCVIHMP010,553171
PRJNA42965,PRJNA38279,Streptomyces griseus XylebKG-1,649189
PRJNA42967,PRJNA34077,Staphylococcus epidermidis SK135,596317
PRJNA42969,PRJNA40669,Prevotella buccalis ATCC 35310,679190
PRJNA42971,PRJNA40667,Prevotella timonensis CRIS 5C-B1,679189
PRJNA42973,PRJNA34107,Peptoniphilus lacrimalis 315-B,596330
PRJNA42975,PRJNA37717,Burkholderia sp. CCGE1001,640510
PRJNA42977,PRJNA38363,Parachlamydia acanthamoebae str. Hall's coccus,159254
PRJNA42979,PRJNA40181,Staphylococcus aureus A8117,553574
PRJNA42981,PRJNA40111,Raphidiopsis brookii D9,533247
PRJNA42983,PRJNA40109,Cylindrospermopsis raciborskii CS-505,533240
PRJNA42985,PRJNA39531,Staphylococcus aureus subsp. aureus C160,585150
PRJNA42987,PRJNA39529,Staphylococcus aureus subsp. aureus Btn1260,585148
PRJNA42989,PRJNA39243,Staphylococcus aureus subsp. aureus WW2703/97,585161
PRJNA42991,PRJNA39241,Staphylococcus aureus subsp. aureus WBG10049,585160
PRJNA42993,PRJNA39239,Staphylococcus aureus subsp. aureus M899,585159
PRJNA42995,PRJNA39231,Staphylococcus aureus subsp. aureus D139,585152
PRJNA42997,PRJNA39229,Staphylococcus aureus subsp. aureus C427,585151
PRJNA42999,PRJNA39221,Staphylococcus aureus A9765,553594
PRJNA43001,PRJNA39227,Staphylococcus aureus subsp. aureus C101,585149
PRJNA43003,PRJNA39223,Staphylococcus aureus A10102,553601
PRJNA43009,PRJNA34099,Lactobacillus jensenii 208-1,596326
PRJNA43089,PRJEA34685,Citrobacter rodentium ICC168,637910
PRJNA43091,PRJNA17583,Bifidobacterium dentium Bd1,401473
PRJNA43093,PRJDA38547,Rothia mucilaginosa,43675
PRJNA43163,PRJEA16687,Xanthomonas albilineans GPE PC73,380358
PRJNA43195,PRJNA39233,Staphylococcus aureus subsp. aureus H19,585155
PRJNA43197,PRJNA40673,Bulleidia extructa W1219,679192
PRJNA43209,PRJNA29845,Pirellula staleyi DSM 6068,530564
PRJNA43211,PRJNA31001,Gardnerella vaginalis 409-05,553190
PRJNA43247,PRJNA38253,Rhodomicrobium vannielii ATCC 17100,648757
PRJNA43327,PRJNA38503,Rhodopseudomonas palustris DX-1,652103
PRJNA43329,PRJNA38423,Bacillus cellulosilyticus DSM 2522,649639
PRJNA43333,PRJNA38403,Aciduliprofundum boonei T469,439481
PRJNA43335,PRJNA38043,Desulfovibrio sp. FW1012B,644968
PRJNA43389,PRJNA33821,Campylobacter jejuni subsp. jejuni 414,683083
PRJNA43391,PRJNA33777,Campylobacter jejuni subsp. jejuni 1336,683082
PRJNA43393,PRJNA40307,Staphylococcus aureus subsp. aureus A017934/97,585147
PRJNA43413,PRJNA28817,Spirosoma linguale DSM 74,504472
PRJNA43465,PRJNA21089,Kribbella flavida DSM 17836,479435
PRJNA43467,PRJNA20745,Conexibacter woesei DSM 14684,469383
PRJNA43471,PRJNA33685,Acidaminococcus fermentans DSM 20731,591001
PRJNA43493,PRJNA32583,Archaeoglobus profundus DSM 5631,572546
PRJNA43501,PRJNA30411,Haloterrigena turkmenica DSM 5511,543526
PRJNA43671,PRJNA36361,Listeria monocytogenes 08-5578,653938
PRJNA43679,PRJNA18803,Sulfolobus islandicus L.D.8.5,425944
PRJNA43691,PRJNA14010,Naegleria gruberi strain NEG-M,744533
PRJNA43697,PRJNA30917,Candidatus Atelocyanobacterium thalassa isolate ALOHA,1453429
PRJNA43725,PRJNA29547,Geodermatophilus obscurus DSM 43160,526225
PRJNA43727,PRJNA36363,Listeria monocytogenes 08-5923,637381
PRJNA45825,PRJNA35037,Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821,264203
PRJNA45847,PRJNA28811,Bacillus pseudofirmus OF4,398511
PRJNA45857,PRJNA34681,Methanobrevibacter ruminantium M1,634498
PRJNA45893,PRJNA33683,Staphylothermus hellenicus DSM 12710,591019
PRJNA45895,PRJNA38291,Micromonospora sp. L5,648999
PRJNA45897,PRJNA38575,Desulfurispirillum indicum S5,653733
PRJNA45899,PRJNA40047,Prevotella sp. oral taxon 299 str. F0039,575614
PRJNA45901,PRJNA40045,Prevotella melaninogenica D18,575612
PRJNA45927,PRJDA34131,Hydrogenobacter thermophilus TK-6,608538
PRJNA46061,PRJEA34729,Streptococcus gallolyticus UCN34,637909
PRJNA46069,PRJNA38795,Frankia sp. EUN1f,102897
PRJNA46071,PRJNA38737,Prevotella buccae D17,575611
PRJNA46073,PRJNA38521,Prevotella sp. oral taxon 317 str. F0108,575615
PRJNA46083,PRJNA32547,Allochromatium vinosum DSM 180,572477
PRJNA46085,PRJDA32551,Azospirillum sp. B510,137722
PRJNA46093,PRJNA38309,Actinomyces odontolyticus F0309,649742
PRJNA46097,PRJNA16302,Streptococcus mitis B6,365659
PRJNA46099,PRJEA39579,Legionella longbeachae NSW150,661367
PRJNA46181,PRJNA30759,Thioalkalivibrio sp. K90mix,396595
PRJNA46195,PRJNA34105,Peptostreptococcus anaerobius 653-L,596329
PRJNA46201,PRJNA41555,Propionibacterium acnes SK187,686659
PRJNA46203,PRJNA40681,Propionibacterium acnes J165,679195
PRJNA46205,PRJNA20401,Callithrix jacchus,9483
PRJNA46215,PRJEA41123,Listeria seeligeri serovar 1/2b str. SLCC3954,683837
PRJNA46219,PRJNA42555,Clostridiales genomosp. BVAB3 str. UPII9-5,699246
PRJNA46231,PRJNA37275,Thermocrinis albus DSM 14484,638303
PRJNA46233,PRJNA42395,Staphylococcus lugdunensis HKU09-01,698737
PRJNA46237,PRJNA32079,Enterococcus faecium D344SRF,565665
PRJNA46241,PRJNA33157,Thermoanaerobacter italicus Ab9,580331
PRJNA46245,PRJNA30691,Natrialba magadii ATCC 43099,547559
PRJNA46251,PRJNA39709,Hydrogenobaculum sp. SN,547146
PRJNA46253,PRJNA37721,Burkholderia sp. CCGE1003,640512
PRJNA46255,PRJNA39729,Ethanoligenens harbinense YUAN-3,663278
PRJNA46257,PRJNA39113,Frankia symbiont of Datisca glomerata,656024
PRJNA46281,PRJNA34071,Micrococcus luteus SK58,596312
PRJNA46345,PRJNA13399,Xenorhabdus bovienii SS-2004,406818
PRJNA46351,PRJNA40049,Klebsiella sp. 1_1_55,469608
PRJNA46353,PRJDA28997,Streptococcus mutans NN2025,511691
PRJNA46447,PRJNA40191,Polysphondylium pallidum PN500,670386
PRJNA46451,PRJNA12737,Perkinsus marinus ATCC 50983,423536
PRJNA46523,PRJDA64985,Gluconacetobacter medellinensis NBRC 3288,634177
PRJNA46525,PRJNA38663,Oenococcus oeni AWRIB429,655225
PRJNA46531,PRJEA40749,Streptomyces scabiei 87.22,680198
PRJNA46567,PRJNA42553,Megasphaera genomosp. type_1 str. 28L,699218
PRJNA46625,PRJNA30485,Filifactor alocis ATCC 35896,546269
PRJNA46647,PRJEA40677,Helicobacter mustelae 12198,679897
PRJNA46653,PRJDA37285,Deferribacter desulfuricans SSM1,639282
